School Name,School Level,School ID_x,State School ID,Zip Code,Total Enrollment,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Students with Disabilities,Limited English Proficiency,DataAsOf,American Indian or Alaska Native Count,Asian Count,Black or African American Count,Hispanic/Latino Count,Native Hawaiian or Other Pacific Islander Count,White Count,Male Count,Female Count,Economically Disadvantaged Count,Students with Disabilities Count,Limited English Proficiency Count,ach_score,lg_score,lg_grade,Total Funding Per Pupil,Federal Per Pupil,State and Local Per Pupil,Percentage Experienced Teachers,Student-Educator Ratio,ADDRESS,CITY,STATE,ZIP
Isaac Litton Middle,Middle School,510,365,37216,301,,,,,,,,,38%,30%,32%,,,,,0.006666667,0.006666667,0.32,0.21,0.006666667,0.45,0.54,0.46,0.29,0.18,0.15,1/17/23,2.006666666666668,2.006666666666668,96.32000000000001,63.21,2.006666666666668,135.45000000000002,162.54000000000002,138.46,87.28999999999999,54.18,45.15,2,2.7,C,16282.160000000002,2129.7599999999998,14152.400000000001,0.8261,13,4601  Hedgewood  DR,Nashville,TN,37216
J.E. Moss Elementary,Elementary School,310,370,37013,676,< 10,8%,17%,20%,18%,18%,20%,,,,,,,,,0.005,0.06,0.12,0.75,0.005,0.06,0.51,0.49,0.4,0.11,0.65,1/17/23,3.380000000000003,40.559999999999995,81.11999999999999,507,3.380000000000003,40.559999999999995,344.76,331.24,270.40000000000003,74.36,439.40000000000003,1,2.9,C,16471.41,2384.29,14087.119999999999,0.7931,11,4701  Bowfield  DR,Antioch,TN,37013
Jere Baxter Middle,Middle School,120,375,37207,446,,,,,,,,,33%,33%,34%,,,,,0.003333333,0.003333333,0.59,0.28,0.003333333,0.12,0.55,0.45,0.59,0.19,0.28,1/17/23,1.486666666666668,1.486666666666668,263.14,124.88000000000001,1.486666666666668,53.519999999999996,245.3,200.70000000000002,263.14,84.74,124.88000000000001,1,1.4,F,16397.699999999997,2960.4399999999996,13437.259999999998,0.48479999999999995,13,350 Hart LN,Nashville,TN,37207
Joelton Elementary,Elementary School,465,380,37080,266,< 10,< 5%,14%,23%,16%,19%,13%,10%,,,,,,,,0.003333333,0.003333333,0.19,0.15,0.003333333,0.65,0.55,0.45,0.4,0.22,0.11,1/17/23,0.8866666666666674,0.8866666666666674,50.54,39.9,0.8866666666666674,172.9,146.3,119.7,106.4,58.52,29.26,4,4.4,B,18584.199999999997,2135.0299999999997,16449.17,0.7273000000000001,11,7141 Whites Creek PIKE,Joelton,TN,37080
John B. Whitsitt Elementary,Elementary School,790,390,37210,482,< 10,< 5%,15%,17%,16%,15%,18%,13%,,,,,,,,0.010000000000000009,0.010000000000000009,0.11,0.68,0.010000000000000009,0.18,0.5,0.5,0.36,0.11,0.57,1/17/23,4.820000000000004,4.820000000000004,53.02,327.76000000000005,4.820000000000004,86.75999999999999,241,241,173.51999999999998,53.02,274.73999999999995,3,3.9,B,17247.47,2993.3599999999997,14254.11,0.7368000000000001,12,110 Whitsett RD,Nashville,TN,37210
John Early Middle,Middle School,285,386,37208,181,,,,,,,,,28%,41%,30%,,,,,0.012500000000000011,0.012500000000000011,0.87,0.08,0.012500000000000011,0.012500000000000011,0.46,0.54,0.82,0.22,0.08,1/17/23,2.262500000000002,2.262500000000002,157.47,14.48,2.262500000000002,2.262500000000002,83.26,97.74000000000001,148.42,39.82,14.48,1,2.1,D,21061.51,4420.21,16641.3,0.3,9,1000 Cass ST,Nashville,TN,37208
John F. Kennedy Middle,Middle School,498,393,37013,830,,,,,,,,26%,25%,26%,23%,,,,,0.013333333333333308,0.013333333333333308,0.32,0.5,0.013333333333333308,0.14,0.51,0.49,0.33,0.07,0.46,1/17/23,11.066666666666645,11.066666666666645,265.6,415,11.066666666666645,116.20000000000002,423.3,406.7,273.90000000000003,58.10000000000001,381.8,1.7,3.3,C,13805.16,1839.76,11965.4,0.8364,15,2087 Hobson PIKE,Antioch,TN,37013
John Overton High,High School,615,395,37220,2017,,,,,,,,,,,,29%,26%,26%,19%,0,0.06,0.22,0.48,0,0.24,0.52,0.48,0.29,0.09,0.36,1/17/23,0,121.02,443.74,968.16,0,484.08,1048.8400000000001,968.16,584.93,181.53,726.12,2,1.8,D,13549.17,1829.1000000000001,11720.07,0.8487,17,4820  Franklin  RD,Nashville,TN,37220
John Trotwood Moore Middle,Middle School,563,490,37204,533,,,,,,,,24%,26%,24%,26%,,,,,0.017500000000000016,0.017500000000000016,0.31,0.017500000000000016,0.017500000000000016,0.62,0.51,0.49,0.19,0.13,0.025,1/17/23,9.327500000000008,9.327500000000008,165.23,9.327500000000008,9.327500000000008,330.46,271.83,261.17,101.27,69.29,13.325000000000001,5,3.1,C,14231.35,1517.3799999999999,12713.970000000001,0.8108,14,4425  Granny  White PIKE,Nashville,TN,37204
Jones Elementary,Elementary School,485,387,37208,287,< 10,5%,19%,16%,12%,17%,15%,14%,,,,,,,,0.0075,0.0075,0.9,0.07,0.0075,0.0075,0.51,0.49,0.75,0.14,0.025,1/17/23,2.152500000000002,2.152500000000002,258.3,20.090000000000003,2.152500000000002,2.152500000000002,146.37,140.63,215.25,40.18000000000001,7.175000000000001,1,2,D,17607.79,3472.5199999999995,14135.27,0.5625,16,1800 9th AVE,Nashville,TN,37208
Julia Green Elementary,Elementary School,380,415,37215,435,,,23%,22%,20%,18%,17%,,,,,,,,,0.022499999999999992,0.05,0.022499999999999992,0.022499999999999992,0.022499999999999992,0.86,0.49,0.51,0.025,0.07,0.075,1/17/23,9.787499999999996,21.75,9.787499999999996,9.787499999999996,9.787499999999996,374.09999999999997,213.15,221.85,10.875,30.450000000000003,32.625,5,4.1,B,14810.600000000002,1618.27,13192.330000000002,0.8181999999999999,13,3500 Hobbs RD,Nashville,TN,37215
Knowledge Academies at The Crossings,Charter,509,8110,37013,528,,,,,,,,10%,14%,12%,12%,20%,16%,11%,7%,0.006666667,0.006666667,0.37,0.45,0.006666667,0.16,0.51,0.49,0.33,0.15,0.32,1/17/23,3.5199999999999836,3.5199999999999836,195.35999999999999,237.6,3.5199999999999836,84.48,269.28000000000003,258.71999999999997,174.24,79.2,168.96,1,1.7,D,,,,,,5320 Hickory Hollow Pkwy,Antioch,TN,37013
KIPP Academy Nashville,Charter,502,8002,37207,371,,,,,,,,23%,27%,26%,23%,,,,,0.0075,0.0075,0.56,0.41,0.0075,0.0075,0.52,0.48,0.53,0.13,0.28,1/17/23,2.7825000000000024,2.7825000000000024,207.76000000000002,152.10999999999999,2.7825000000000024,2.7825000000000024,192.92000000000002,178.07999999999998,196.63000000000002,48.230000000000004,103.88000000000001,2.5,3.7,B,19595.879999999997,2779.3999999999996,16816.48,0.5333,25,123 Douglas AVE,Nashville,TN,37207
KIPP Academy Nashville Elementary,Charter,499,8095,37206,326,,,21%,21%,17%,22%,20%,,,,,,,,,0.015999999999999993,0.015999999999999993,0.92,0.015999999999999993,0.015999999999999993,0.015999999999999993,0.49,0.51,0.79,0.14,0.025,1/17/23,5.2159999999999975,5.2159999999999975,299.92,5.2159999999999975,5.2159999999999975,5.2159999999999975,159.74,166.26,257.54,45.64000000000001,8.15,2,2.5,C,22393.949999999997,4172.08,18221.87,0.5882000000000001,20,1000 Sevier ST,Nashville,TN,37206
KIPP Nashville College Prep,Charter,503,8042,37207,325,,,,,,,,26%,28%,24%,22%,,,,,0.01,0.01,0.79,0.17,0.01,0.01,0.46,0.54,0.49,0.14,0.13,1/17/23,3.249999999999994,3.249999999999994,256.75,55.25000000000001,3.249999999999994,3.249999999999994,149.5,175.5,159.25,45.50000000000001,42.25,2.7,3.8,B,24655.440000000002,5044.88,19610.56,0.4118,19,3410 Knight RD,Nashville,TN,37207
KIPP Nashville College Prep Elementary,Charter,501,8085,37207,415,,,20%,19%,20%,21%,20%,,,,,,,,,0.010000000000000009,0.010000000000000009,0.84,0.12,0.010000000000000009,0.010000000000000009,0.48,0.52,0.56,0.11,0.11,1/17/23,4.150000000000004,4.150000000000004,348.59999999999997,49.8,4.150000000000004,4.150000000000004,199.2,215.8,232.40000000000003,45.65,45.65,3,3,C,22612.35,4395.12,18217.23,0.5625,26,3410 Knight RD,Nashville,TN,37207
KIPP Nashville Collegiate High School,Charter,504,8011,37207,472,,,,,,,,,,,,29%,26%,22%,24%,0.010000000000000009,0.010000000000000009,0.6,0.36,0.010000000000000009,0.010000000000000009,0.53,0.47,0.38,0.16,0.13,1/17/23,4.720000000000004,4.720000000000004,283.2,169.92,4.720000000000004,4.720000000000004,250.16000000000003,221.83999999999997,179.36,75.52,61.36,2,2.1,D,20715.82,2385.72,18330.1,0.6286,14,123 Douglas AVE,Nashville,TN,37207
Lakeview Elementary,Elementary School,122,430,37217,603,11%,8%,15%,19%,15%,15%,17%,,,,,,,,,0.010000000000000009,0.010000000000000009,0.28,0.51,0.010000000000000009,0.18,0.52,0.48,0.34,0.21,0.45,1/17/23,6.030000000000006,6.030000000000006,168.84,307.53000000000003,6.030000000000006,108.53999999999999,313.56,289.44,205.02,126.63,271.35,2,2.5,C,16627.059999999998,2990.2799999999997,13636.779999999999,0.6383,10,455 Rural Hill RD,Nashville,TN,37217
LEAD Academy,Charter,508,8003,37208,474,,,,,,,,,,,,29%,28%,24%,19%,0.003333333,0.003333333,0.28,0.64,0.003333333,0.07,0.52,0.48,0.35,0.13,0.43,1/17/23,1.5800000000000014,1.5800000000000014,132.72,303.36,1.5800000000000014,33.18,246.48000000000002,227.51999999999998,165.89999999999998,61.620000000000005,203.82,2,2.5,C,14925.58,5354.08,9571.5,0.45159999999999995,15,"1035 1st Ave South , LEAD College Prep Building",Nashville,TN,37210
LEAD Cameron,Charter,181,8010,37210,511,,,,,,,,7%,29%,31%,33%,,,,,0.003333333,0.003333333,0.23,0.68,0.003333333,0.08,0.56,0.44,0.36,0.11,0.63,1/17/23,1.7033333333333347,1.7033333333333347,117.53,347.48,1.7033333333333347,40.88,286.16,224.84,183.95999999999998,56.21,321.93,1.1,3,C,15598.529999999999,5503.889999999999,10094.64,0.5455,12,1034 1st Avenue South ,Nashville,TN,37210
